source,gu_name,complex_name,lease_type,households,move_in_date,address_raw,zipcode,lat,lng,geocode_status,geocode_method,matched_address,gu_match,query_used
SH,강남구,대치1,영구임대,1623,1992-01-15,"개포로109길 9 (개포동 12, 대치아파트)",06335,37.4957518185981,127.075101271591,ok,road,서울 강남구 개포로109길 9,Y,서울 강남구 개포로109길 9
SH,강남구,수서1-1단지,"영구,공공",2214,1992-11-01,"양재대로55길 10 (일원동 711, 수서1단지 에스에이치빌)",06341,37.4931540384403,127.090991396006,ok,road,서울 강남구 양재대로55길 10,Y,서울 강남구 양재대로55길 10
SH,강남구,수서6,영구임대,1508,1992-12-01,"광평로56길 11 (수서동 723, 수서6단지아파트)",06368,37.4878478418441,127.105794693568,ok,road,서울 강남구 광평로56길 11,Y,서울 강남구 광평로56길 11
SH,강남구,신사삼지래미안,재건축,3,2009-03-20,"압구정로2길 20 (신사동 506-9, 래미안 신사)",06027,37.5201049771688,127.019620204079,ok,road,서울 강남구 압구정로2길 20,Y,서울 강남구 압구정로2길 20
SH,강남구,래미안그레이튼,재건축,24,2010-03-05,"도곡로43길 20 (역삼동 763-16, 래미안 그레이튼)",06219,37.4968552857788,127.048587369117,ok,road,서울 강남구 도곡로43길 20,Y,서울 강남구 도곡로43길 20
SH,강남구,래미안그레이튼2차,재건축,22,2011-01-20,"도곡로43길 21 (역삼동 762-3, 래미안그레이튼)",06219,37.4957277729688,127.047011616273,ok,road,서울 강남구 도곡로43길 21,Y,서울 강남구 도곡로43길 21
SH,강남구,강남신동아파밀리에1단지(세곡리엔파크1단지),"국민,장기",307,2011-03-01,"헌릉로590길 100 (세곡동 508, 세곡리엔파크1단지)",06366,37.4635377203095,127.101042591666,ok,road,서울 강남구 헌릉로590길 100,Y,서울 강남구 헌릉로590길 100
SH,강남구,강남신동아파밀리에2단지(세곡리엔파크2단지),"국민,장기",324,2011-03-01,"헌릉로590길 10 (세곡동 511, 세곡리엔파크2단지)",06365,37.4645126849986,127.102737297551,ok,road,서울 강남구 헌릉로590길 10,Y,서울 강남구 헌릉로590길 10
SH,강남구,세곡리엔파크3단지,"국민,장기",303,2011-03-01,"헌릉로590길 11 (세곡동 516, 세곡리엔파크3단지)",06365,37.4643990418051,127.104002692314,ok,road,서울 강남구 헌릉로590길 11,Y,서울 강남구 헌릉로590길 11
SH,강남구,세곡리엔파크4단지,"국민,장기",407,2011-06-22,"헌릉로590길 88 (세곡동 522, 세곡리엔파크4단지)",06366,37.4628776555918,127.101444329255,ok,road,서울 강남구 헌릉로590길 88,Y,서울 강남구 헌릉로590길 88
